trade_id,timestamp_et,symbol,sig,atr_scale,entry_px,exit_px,exit_reason,pnl_pct,holding_bars,result
69dc14f8,2026-05-13 15:05:00,QQQ,0.8039,1.025,714.8857,715.525,신호소멸,0.000894,0,1.0
d081f3b8,2026-05-13 15:17:00,QQQ,0.2374,1.025,715.6858,715.71,신호소멸,3.4e-05,0,1.0
21618f50,2026-05-13 15:43:00,QQQ,0.234,1.025,715.8308,718.82,신호소멸,0.004176,0,1.0
d54d31d1,2026-05-14 09:47:00,QQQ,0.2198,1.04,718.9759,718.82,신호소멸,-0.000217,0,0.0
77ebcb88,2026-05-14 10:48:00,QQQ,0.2067,1.04,720.106,720.3723,신호소멸,0.00037,0,1.0
8aa3b31d,2026-05-14 11:16:00,QQQ,0.2403,1.04,721.066,721.35,신호소멸,0.000394,0,1.0
b236f5d2,2026-05-14 11:44:00,QQQ,0.2294,1.04,721.2461,721.04,신호소멸,-0.000286,0,0.0
47b56c1f,2026-05-14 12:24:00,QQQ,0.2516,1.04,721.5361,720.83,신호소멸,-0.000979,0,0.0
feb89533,2026-05-14 13:05:00,QQQ,0.2449,1.04,721.1561,720.14,신호소멸,-0.001409,0,0.0
92019083,2026-05-14 13:34:00,QQQ,0.2883,1.04,718.9159,719.37,신호소멸,0.000632,0,1.0
11e0abe4,2026-05-14 13:41:00,QQQ,0.2058,1.04,719.976,719.92,신호소멸,-7.8e-05,0,0.0
d18c7e30,2026-05-14 14:04:00,QQQ,0.246,1.04,719.0259,719.8244,신호소멸,0.001111,0,1.0
759e29d6,2026-05-14 14:28:00,QQQ,0.284,1.04,719.286,719.43,신호소멸,0.0002,0,1.0
1daeb1e6,2026-05-14 14:37:00,QQQ,0.2517,1.04,719.526,719.092,신호소멸,-0.000603,0,0.0
37ef8f04,2026-05-14 14:47:00,QQQ,0.3308,1.04,719.406,719.9904,신호소멸,0.000812,0,1.0
af83fbd1,2026-05-14 15:11:00,QQQ,0.2797,1.04,720.536,720.32,신호소멸,-0.0003,0,0.0
8b4304e5,2026-05-14 15:33:00,QQQ,0.2821,1.04,720.506,708.36,신호소멸,-0.016858,0,0.0
2804d1c5,2026-05-15 09:58:00,QQQ,0.2067,1.004,708.4154,708.36,신호소멸,-7.8e-05,0,0.0
f365c178,2026-05-15 10:11:00,QQQ,0.2106,1.004,709.4055,710.21,신호소멸,0.001134,0,1.0
a561d31b,2026-05-15 10:49:00,QQQ,0.2131,1.004,710.5355,710.8294,신호소멸,0.000414,0,1.0
